cohort_id,role,group,n_records,n_primary
GSE10588,historical_internal_replication,Control,26,26
GSE10588,historical_internal_replication,PE,17,17
GSE177049,exploratory_paired_mrna_mirna,Control,5,0
GSE177049,exploratory_paired_mrna_mirna,PE,5,0
GSE190971,external_replication,Control,6,6
GSE190971,external_replication,PE,7,7
GSE204835,external_replication,Chronic_hypertension,13,0
GSE204835,external_replication,Control,12,12
GSE204835,external_replication,PE,16,12
GSE204835,external_replication,Superimposed_PE,7,0
GSE24129,historical_internal_replication,Control,8,8
GSE24129,historical_internal_replication,FGR_other,8,0
GSE24129,historical_internal_replication,PE,8,8
GSE25906,historical_internal_replication,Control,37,37
GSE25906,historical_internal_replication,PE,23,23
GSE30186,historical_internal_replication,Control,6,6
GSE30186,historical_internal_replication,PE,6,6
GSE43942,historical_internal_replication,Control,7,7
GSE43942,historical_internal_replication,PE,5,5
GSE44711,historical_internal_replication,Control,8,8
GSE44711,historical_internal_replication,PE,8,8
GSE4707,historical_internal_replication,Control,4,4
GSE4707,historical_internal_replication,PE,10,10
GSE75010_BioBank157,discovery,Control,77,77
GSE75010_BioBank157,discovery,PE,80,80
