cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE190971_GA_adjusted,H2BC14,-3.8142719346825,0.36909170019423415,-10.33421215561131,1.1750675130330603e-06,13,10,0.016938598200371566
GSE190971_GA_adjusted,KIRREL1,-2.5137200785215605,0.298574082288161,-8.419083328523836,7.5082861198778835e-06,13,10,0.052038386312332825
GSE190971_GA_adjusted,TYRO3,-3.120495977426753,0.3897480493406772,-8.006444118721271,1.1692181550001043e-05,13,10,0.052038386312332825
GSE190971_GA_adjusted,OCRL,2.5140369761998236,0.32168257443537657,7.815272495292944,1.4440065574008414e-05,13,10,0.052038386312332825
GSE190971_GA_adjusted,HPCAL1,3.0261521151681525,0.4064428266043102,7.445455835573753,2.196513506740327e-05,13,10,0.056247589540288113
GSE190971_GA_adjusted,SAMD5,-2.6834879059925365,0.36484025243900337,-7.355240788408295,2.4387567936664347e-05,13,10,0.056247589540288113
GSE190971_GA_adjusted,MID1,3.2004470962867484,0.440930175084709,7.258398896541605,2.7314126034132278e-05,13,10,0.056247589540288113
GSE190971_GA_adjusted,THRB-AS2,3.1347066772007386,0.4538749011966637,6.906543342528809,4.1611045314259776e-05,13,10,0.07497790227563184
GSE190971_GA_adjusted,DIO2,2.5653195774440434,0.39321440291706594,6.52397154939694,6.689243711783186e-05,13,10,0.10401898870841508
GSE190971_GA_adjusted,VWCE,3.0842123597109685,0.4771207224245933,6.464217995055567,7.216024190663551e-05,13,10,0.10401898870841508
GSE190971_GA_adjusted,SH3BP5,2.8476506048355246,0.45163264929391905,6.305236366962246,8.848289622610113e-05,13,10,0.11595281355447708
GSE190971_GA_adjusted,SASH1,2.9656627363878676,0.47695048885540414,6.217967704582771,9.91014959628931e-05,13,10,0.11904567202542533
GSE190971_GA_adjusted,CRACD,-2.39113164142884,0.3952438179505167,-6.049763545519141,0.00012364720046489794,13,10,0.12484245296333683
GSE190971_GA_adjusted,FLNB,3.027508058559317,0.5007820591779649,6.045560145523144,0.00012433887465534347,13,10,0.12484245296333683
GSE190971_GA_adjusted,CASS4,-3.433253116323826,0.5710096489506422,-6.012600877468875,0.00012990890006590723,13,10,0.12484245296333683
GSE190971_GA_adjusted,RASGRF2,3.4869630717355506,0.5849869047411482,5.960754067270108,0.0001392214418774706,13,10,0.12542981779148366
GSE190971_GA_adjusted,APLN,-2.576090161733665,0.43811199940515194,-5.87998083876123,0.0001551901419472449,13,10,0.12587038150350216
GSE190971_GA_adjusted,TRPV2,-2.853347189934434,0.49369885393488855,-5.779529701543012,0.00017784890915000597,13,10,0.12587038150350216
GSE190971_GA_adjusted,PARD3,3.6780286469408967,0.639200333936989,5.754109395229866,0.00018413009551213337,13,10,0.12587038150350216
GSE190971_GA_adjusted,UCA1,2.078561941474459,0.36370216341450573,5.7150112112628655,0.00019426059583876038,13,10,0.12587038150350216
GSE190971_GA_adjusted,DOCK5,3.5618689491457927,0.6239521068864742,5.708561458217597,0.0001959884977961972,13,10,0.12587038150350216
GSE190971_GA_adjusted,AGXT,3.2045329032458314,0.5618825739684874,5.7032074880214285,0.00019743537142663764,13,10,0.12587038150350216
GSE190971_GA_adjusted,PTPRG,3.5371154716469166,0.6280969251163299,5.6314803180923185,0.00021796512751900553,13,10,0.12587038150350216
GSE190971_GA_adjusted,CENPN,-3.570128174700256,0.6375866211127218,-5.5994402273837505,0.000227865513688666,13,10,0.12587038150350216
GSE190971_GA_adjusted,FLT1,2.2452689015287484,0.40153311811100156,5.591740258167339,0.0002303159989391948,13,10,0.12587038150350216
GSE190971_GA_adjusted,CDH3,-3.6180681462760926,0.6481262081789047,-5.582351246745732,0.00023334232274597037,13,10,0.12587038150350216
GSE190971_GA_adjusted,DUXAP10,3.63038942025512,0.6587901414701083,5.510691784418338,0.0002578938487201393,13,10,0.12587038150350216
GSE190971_GA_adjusted,HEYL,-2.500109809316063,0.45732162784051006,-5.466852335678231,0.00027426842514999283,13,10,0.12587038150350216
GSE190971_GA_adjusted,ZNF688,-3.6148026501980737,0.662773524844777,-5.454054084379227,0.000279256218674969,13,10,0.12587038150350216
GSE190971_GA_adjusted,FAM120A,3.04945803618452,0.5600665027801607,5.444814180185856,0.00028291759762500367,13,10,0.12587038150350216
GSE190971_GA_adjusted,MAGEL2,-3.6309121257454393,0.6701174456140189,-5.418322041173674,0.00029370327801516767,13,10,0.12587038150350216
GSE190971_GA_adjusted,P4HA1,3.1528962732798838,0.5827215679369198,5.410639397547043,0.000296912841968562,13,10,0.12587038150350216
GSE190971_GA_adjusted,AFAP1,3.0690199945254477,0.570912695795603,5.375638021586775,0.00031201803981884023,13,10,0.12587038150350216
GSE190971_GA_adjusted,PPARG,3.579229153112294,0.6672308016560762,5.36430444192414,0.0003170838314563253,13,10,0.12587038150350216
GSE190971_GA_adjusted,SIGLEC6,3.045985920199993,0.5687842118023412,5.355257507144919,0.0003211907295387353,13,10,0.12587038150350216
GSE190971_GA_adjusted,CALHM4,-2.940503582015383,0.5491237129019327,-5.354901842566256,0.000321353343723726,13,10,0.12587038150350216
GSE190971_GA_adjusted,REPS2,3.4361958503930814,0.6472694314874181,5.3087565752900465,0.00034321761256812106,13,10,0.12587038150350216
GSE190971_GA_adjusted,DKFZP586I1420,3.610729733573869,0.6801654472474272,5.308605058057846,0.00034329197167316594,13,10,0.12587038150350216
GSE190971_GA_adjusted,NOG,2.7930062783305303,0.5261803117946401,5.3080782684636,0.0003435506348437027,13,10,0.12587038150350216
GSE190971_GA_adjusted,ADORA1,-3.0659890981457636,0.5794334187926905,-5.2913570372486785,0.00035187035502054465,13,10,0.12587038150350216
GSE190971_GA_adjusted,COL15A1,-2.541042121266263,0.4813226849396181,-5.27929017429344,0.0003580080223131175,13,10,0.12587038150350216
GSE190971_GA_adjusted,TBX5-AS1,-2.819980630665525,0.5371100309310691,-5.250284798772324,0.0003732345279997597,13,10,0.12599999669812412
GSE190971_GA_adjusted,CCND1,-2.904478717302185,0.5537176870615732,-5.245414378427121,0.00037585847089971117,13,10,0.12599999669812412
GSE190971_GA_adjusted,ZNF706,3.5332170550669195,0.6884719861564735,5.131969239288557,0.0004429043590848367,13,10,0.1392969532073211
GSE190971_GA_adjusted,H2AC13,-2.9965351216921126,0.585299607101674,-5.119660230989317,0.0004509129703306838,13,10,0.1392969532073211
GSE190971_GA_adjusted,MXI1,3.4391327615022247,0.6721798167544477,5.116388019663741,0.0004530678843163424,13,10,0.1392969532073211
GSE190971_GA_adjusted,PARP1,-3.5211899751904125,0.6915927521582313,-5.0914211639754,0.0004698762237128491,13,10,0.1392969532073211
GSE190971_GA_adjusted,ARHGAP45,2.8396838086323966,0.5586735361463118,5.082903744144251,0.00047576161613902674,13,10,0.1392969532073211
GSE190971_GA_adjusted,PCDHGC3,-2.9388975229178538,0.5791263488412046,-5.074708703546994,0.00048149855653649984,13,10,0.1392969532073211
GSE190971_GA_adjusted,SLC4A7,3.385395266982908,0.6683282720056067,5.065467688241846,0.0004880564054900249,13,10,0.1392969532073211
GSE190971_GA_adjusted,MBD2,3.421268813288371,0.6762972768469259,5.058823878811427,0.000492830011347442,13,10,0.1392969532073211
GSE190971_GA_adjusted,FSTL3,2.5441962957984843,0.5061518684796386,5.026547276098482,0.0005167403078606561,13,10,0.14268708606358052
GSE190971_GA_adjusted,TCF7L2,3.428463105324482,0.6852750290840754,5.003046893313616,0.0005349262241454408,13,10,0.14268708606358052
GSE190971_GA_adjusted,NRIP1,3.1835966359951438,0.6377091704740251,4.992239069776427,0.0005435179187525073,13,10,0.14268708606358052
GSE190971_GA_adjusted,NR2F1,-2.256572876609948,0.452633034644474,-4.985435670603229,0.0005490016504809369,13,10,0.14268708606358052
GSE190971_GA_adjusted,KRT19,2.0038342146903716,0.4032209579105021,4.96956860842322,0.0005620214265557012,13,10,0.14268708606358052
GSE190971_GA_adjusted,OLFM2,-3.373623314411647,0.6835915978089179,-4.935144500349264,0.0005914132452231694,13,10,0.14268708606358052
GSE190971_GA_adjusted,DOP1B,3.173346380860516,0.6448018248959058,4.921428969858775,0.0006035762144070215,13,10,0.14268708606358052
GSE190971_GA_adjusted,RASEF,2.5072826398575354,0.509952610163483,4.916697335961745,0.0006078338256817212,13,10,0.14268708606358052
GSE190971_GA_adjusted,FUT4,-3.4912147202944426,0.7121952068193743,-4.902047482018337,0.0006212200883312066,13,10,0.14268708606358052
GSE190971_GA_adjusted,CCDC71,-3.526860033335767,0.71984284950123,-4.899486097249537,0.0006235926171400236,13,10,0.14268708606358052
GSE190971_GA_adjusted,FOXS1,-3.215770372672686,0.6584902974479138,-4.883550122357045,0.000638572034771037,13,10,0.14268708606358052
