cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE190971_GA_adjusted,CURATED_ENDOTHELIAL_NO_SIGNALING,-2.264022158424687,0.8006155145237432,-2.827851968084169,0.0179177878046305,13,10,0.17674966404466894
GSE190971_GA_adjusted,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION,2.3678001539383615,1.09668630175755,2.159049629911237,0.05619962619273283,13,10,0.17674966404466894
GSE190971_GA_adjusted,HALLMARK_HYPOXIA,1.9845333404006404,1.0278408196217113,1.930778874039107,0.08232822981454288,13,10,0.17674966404466894
GSE190971_GA_adjusted,CURATED_PROANGIOGENIC_SUPPORT,-1.4859139157936665,0.779761163259759,-1.9056013376991814,0.08582573825663747,13,10,0.17674966404466894
GSE190971_GA_adjusted,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,1.933766387922576,1.0243237980774567,1.8878467839486335,0.08837483202233447,13,10,0.17674966404466894
GSE190971_GA_adjusted,CURATED_HIF1_TWIST1_MIR214_HOST_AXIS,-0.8401516537778726,1.0593641985689943,-0.7930715941814558,0.44614453692069506,13,10,0.7435742282011585
GSE190971_GA_adjusted,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,0.7313293153321693,1.219878743077975,0.5995098443037814,0.5621692500911722,13,10,0.8030989287016747
GSE190971_GA_adjusted,HALLMARK_INFLAMMATORY_RESPONSE,-0.2890203899652096,1.1893545472486755,-0.24300608311777022,0.8129126184510158,13,10,0.9192538673088653
GSE190971_GA_adjusted,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.2954546424264896,1.3247470527079401,0.2230272124950535,0.8280040286495625,13,10,0.9192538673088653
GSE190971_GA_adjusted,HALLMARK_ANGIOGENESIS,0.13488422149664345,1.2974194095105962,0.10396346817990303,0.9192538673088652,13,10,0.9192538673088653
