cohort,gene_set,n_requested,n_present,present_genes,missing_genes
GSE190971,HALLMARK_HYPOXIA,200,175,ACKR3;ADM;ADORA2B;AK4;AKAP12;ALDOA;ALDOC;AMPD3;ANGPTL4;ANKZF1;ANXA2;ATF3;ATP7A;B3GALT6;BCL2;BGN;BHLHE40;BNIP3L;BTG1;CA12;CASP6;CAV1;CAVIN1;CAVIN3;CCN1;CCN2;CCNG2;CDKN1A;CDKN1B;CHST2;CHST3;CITED2;COL5A1;CP;CSRP2;CXCR4;DCN;DDIT3;DDIT4;DTNA;DUSP1;EFNA1;EGFR;ENO1;ENO2;ENO3;ERO1A;ERRFI1;ETS1;EXT1;F3;FAM162A;FBP1;FOS;FOSL2;FOXO3;GAA;GALK1;GAPDH;GBE1;GCNT2;GLRX;GPC1;GPC3;GPC4;GPI;GRHPR;GYS1;HDLBP;HEXA;HK1;HK2;HMOX1;HSPA5;IDS;IGFBP1;IGFBP3;IL6;ILVBL;INHA;IRS2;ISG20;JMJD6;JUN;KDELR3;KDM3A;KIF5A;KLF6;KLF7;KLHL24;LARGE1;LDHA;LOX;LXN;MAFF;MAP3K1;MT1E;MT2A;MXI1;MYH9;NAGK;NDRG1;NDST1;NDST2;NEDD4L;NFIL3;NOCT;NR3C1;P4HA1;P4HA2;PAM;PDGFB;PDK1;PDK3;PFKFB3;PFKL;PFKP;PGF;PGK1;PGM1;PGM2;PIM1;PKP1;PLAC8;PLAUR;PLIN2;PNRC1;PPFIA4;PPP1R15A;PPP1R3C;PRDX5;PRKCA;PYGM;RBPJ;RORA;RRAGD;S100A4;SAP30;SCARB1;SDC2;SDC3;SDC4;SELENBP1;SERPINE1;SIAH2;SLC25A1;SLC2A1;SLC2A3;SLC2A5;SLC37A4;SLC6A6;SRPX;STBD1;STC1;STC2;SULT2B1;TES;TGFB3;TGFBI;TGM2;TIPARP;TMEM45A;TNFAIP3;TPBG;TPD52;TPI1;TPST2;UGP2;VEGFA;VHL;VLDLR;WSB1;XPNPEP1;ZFP36;ZNF292,ALDOB;B4GALNT2;BCAN;BRS3;CCN5;CDKN1C;DPYSL4;EDN2;EFNA3;GAPDHS;GCK;HAS1;HOXB9;HS3ST1;IER3;LALBA;LDHC;MIF;NCAN;PCK1;PGAM2;PHKG1;PKLR;PPARGC1A;TKTL1
GSE190971,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,200,182,ABCA1;ACKR3;AREG;ATF3;ATP2B1;B4GALT1;B4GALT5;BCL2A1;BCL3;BCL6;BHLHE40;BIRC2;BIRC3;BMP2;BTG1;BTG2;BTG3;CCL2;CCN1;CCND1;CCNL1;CCRL2;CD44;CD69;CD80;CD83;CDKN1A;CEBPB;CEBPD;CFLAR;CLCF1;CSF1;CXCL1;CXCL10;CXCL11;CXCL2;DDX58;DENND5A;DNAJB4;DRAM1;DUSP1;DUSP4;DUSP5;EDN1;EFNA1;EGR1;EGR2;EGR3;EHD1;EIF1;ETS2;F2RL1;F3;FJX1;FOS;FOSB;FOSL2;FUT4;G0S2;GADD45A;GADD45B;GCH1;GEM;GFPT2;GPR183;HBEGF;HES1;ICAM1;ICOSLG;ID2;IER2;IER5;IFIH1;IFIT2;IFNGR2;IL15RA;IL18;IL1B;IL6;IL6ST;IL7R;INHBA;IRF1;IRS2;JAG1;JUN;JUNB;KDM6B;KLF10;KLF2;KLF4;KLF6;KLF9;KYNU;LAMB3;LDLR;LIF;LITAF;MAFF;MAP2K3;MAP3K8;MARCKS;MCL1;MSC;MXD1;MYC;NAMPT;NFAT5;NFE2L2;NFIL3;NFKB1;NFKB2;NFKBIA;NFKBIE;NINJ1;NR4A1;NR4A2;NR4A3;OLR1;PANX1;PDE4B;PDLIM5;PER1;PFKFB3;PHLDA1;PLAU;PLAUR;PLEK;PLK2;PLPP3;PMEPA1;PNRC1;PPP1R15A;PTGER4;PTGS2;PTPRE;PTX3;RCAN1;REL;RELA;RELB;RHOB;RIPK2;RNF19B;SAT1;SDC4;SERPINB2;SERPINB8;SERPINE1;SGK1;SIK1;SLC16A6;SLC2A3;SLC2A6;SMAD3;SNN;SOCS3;SOD2;SPHK1;SPSB1;SQSTM1;STAT5A;TANK;TGIF1;TIPARP;TLR2;TNC;TNFAIP2;TNFAIP3;TNFAIP8;TNIP1;TNIP2;TRAF1;TRIB1;TRIP10;TSC22D1;TUBB2A;VEGFA;YRDC;ZBTB10;ZC3H12A;ZFP36,CCL20;CCL4;CCL5;CSF2;CXCL3;CXCL6;DUSP2;FOSL1;IER3;IL12B;IL1A;IL23A;PHLDA2;TAP1;TNF;TNFAIP6;TNFRSF9;TNFSF9
GSE190971,HALLMARK_ANGIOGENESIS,36,31,APP;CCND2;COL3A1;COL5A2;FGFR1;FSTL1;ITGAV;JAG1;JAG2;KCNJ8;LPL;LRPAP1;LUM;MSX1;NRP1;OLR1;PDGFA;POSTN;PRG2;PTK2;S100A4;SLCO2A1;SPP1;STC1;THBD;TIMP1;TNFRSF21;VAV2;VCAN;VEGFA;VTN,APOH;CXCL6;PF4;PGLYRP1;SERPINA5
GSE190971,HALLMARK_INFLAMMATORY_RESPONSE,200,166,ABCA1;ABI1;ACVR1B;ACVR2A;ADGRE1;ADM;ADORA2B;ADRM1;AHR;APLNR;AQP9;ATP2A2;ATP2B1;ATP2C1;AXL;BEST1;BST2;BTG2;C3AR1;C5AR1;CALCRL;CCL2;CCR7;CCRL2;CD14;CD40;CD48;CD55;CD69;CD82;CDKN1A;CHST2;CMKLR1;CSF1;CSF3R;CX3CL1;CXCL10;CXCL11;CXCL8;CXCL9;CXCR6;CYBB;DCBLD2;EBI3;EDN1;EIF2AK2;EMP3;F3;FPR1;FZD5;GCH1;GNA15;GNAI3;GPC3;GPR132;GPR183;HAS2;HBEGF;HIF1A;HRH1;ICAM1;ICOSLG;IFITM1;IFNAR1;IFNGR2;IL10RA;IL15;IL15RA;IL18;IL18R1;IL1B;IL1R1;IL2RB;IL4R;IL6;IL7R;INHBA;IRAK2;IRF1;ITGA5;ITGB3;ITGB8;KCNA3;KCNJ2;KIF1B;KLF6;LAMP3;LCK;LCP2;LDLR;LIF;LPAR1;LYN;MARCO;MEFV;MEP1A;MET;MMP14;MSR1;MXD1;MYC;NAMPT;NDP;NFKB1;NFKBIA;NLRP3;NMI;NMUR1;NOD2;NPFFR2;OLR1;OPRK1;OSM;OSMR;P2RX4;P2RX7;P2RY2;PCDH7;PDE4B;PDPN;PIK3R5;PLAUR;PSEN1;PTAFR;PTGER2;PTGER4;PTGIR;PTPRE;PVR;RAF1;RASGRP1;RELA;RGS1;RGS16;RHOG;RIPK2;RNF144B;ROS1;SCN1B;SELE;SELENOS;SELL;SEMA4D;SERPINE1;SGMS2;SLAMF1;SLC11A2;SLC1A2;SLC31A1;SLC31A2;SLC4A4;SLC7A1;SLC7A2;SPHK1;SRI;STAB1;TACR1;TIMP1;TLR1;TLR2;TLR3;TNFRSF1B;TNFSF10;TNFSF15;TPBG;VIP,BDKRB1;CCL17;CCL20;CCL22;CCL24;CCL5;CCL7;CD70;CLEC5A;CSF3;CXCL6;EREG;FFAR2;GABBR1;GP1BA;HPN;ICAM4;IL10;IL12B;IL18RAP;IL1A;IRF7;KCNMB2;LTA;LY6E;PROK2;RTP4;SCARF1;SLC28A2;TACR3;TAPBP;TNFAIP6;TNFRSF9;TNFSF9
GSE190971,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,191,ABI3BP;ACTA2;ADAM12;ANPEP;APLP1;AREG;BASP1;BDNF;BGN;BMP1;CADM1;CALD1;CALU;CAP2;CAPG;CCN1;CCN2;CD44;CD59;CDH11;CDH2;CDH6;COL11A1;COL12A1;COL16A1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;COL5A1;COL5A2;COL5A3;COL6A2;COL6A3;COL7A1;COL8A2;COLGALT1;COMP;COPA;CRLF1;CTHRC1;CXCL1;CXCL12;CXCL8;DAB2;DCN;DKK1;DPYSL3;DST;ECM1;ECM2;EDIL3;EFEMP2;ELN;EMP3;ENO2;FAP;FAS;FBLN1;FBLN2;FBLN5;FBN1;FBN2;FERMT2;FGF2;FLNA;FMOD;FN1;FSTL1;FSTL3;FUCA1;FZD8;GADD45A;GADD45B;GAS1;GEM;GJA1;GLIPR1;GPC1;GPX7;HTRA1;ID2;IGFBP2;IGFBP3;IGFBP4;IL15;IL32;IL6;INHBA;ITGA2;ITGA5;ITGAV;ITGB1;ITGB3;ITGB5;JUN;LAMA1;LAMA2;LAMA3;LAMC1;LAMC2;LGALS1;LOX;LOXL1;LOXL2;LRP1;LRRC15;LUM;MATN2;MATN3;MCM7;MEST;MFAP5;MGP;MMP1;MMP14;MMP2;MSX1;MXRA5;MYL9;MYLK;NID2;NNMT;NOTCH2;NT5E;NTM;OXTR;P3H1;PCOLCE;PCOLCE2;PDGFRB;PDLIM4;PFN2;PLAUR;PLOD1;PLOD2;PLOD3;PMEPA1;PMP22;POSTN;PPIB;PRRX1;PTX3;PVR;QSOX1;RGS4;RHOB;SAT1;SCG2;SDC1;SDC4;SERPINE1;SERPINE2;SERPINH1;SFRP1;SGCB;SGCD;SLC6A8;SLIT2;SLIT3;SNAI2;SNTB1;SPARC;SPOCK1;SPP1;TAGLN;TFPI2;TGFB1;TGFBI;TGFBR3;TGM2;THBS1;THBS2;THY1;TIMP1;TIMP3;TNC;TNFAIP3;TNFRSF11B;TNFRSF12A;TPM1;TPM2;TPM4;VCAM1;VCAN;VEGFA;VEGFC;VIM;WIPF1;WNT5A,CXCL6;FOXC2;GREM1;MAGEE1;MMP3;PRSS2;PTHLH;SFRP4;SGCG
GSE190971,CURATED_PROANGIOGENIC_SUPPORT,6,6,ANGPT1;KDR;NOS3;PGF;TEK;VEGFA,
GSE190971,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,5,5,EDN1;ENG;F3;FLT1;SERPINE1,
GSE190971,CURATED_ENDOTHELIAL_NO_SIGNALING,6,6,GUCY1A1;GUCY1B1;KLF2;KLF4;NOS3;PRKG1,
GSE190971,CURATED_HIF1_TWIST1_MIR214_HOST_AXIS,3,3,DNM3OS;HIF1A;TWIST1,
GSE190971,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION,6,6,ASCL2;HLA-G;ITGA1;MMP2;MMP9;NOTCH2,
