cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE204835_term,ART4,-1.6259037703807215,0.23255207264328093,-6.99156860611923,5.121750315127736e-07,24,22,0.00401367984763706
GSE204835_term,CHUK,-1.6192031689374025,0.23466750472611708,-6.899988862229526,6.273810445154198e-07,24,22,0.00401367984763706
GSE204835_term,ELOVL6,-1.6071536718493655,0.2384028683852032,-6.741335298250614,8.939153335494567e-07,24,22,0.00401367984763706
GSE204835_term,ANGPTL4,1.5901807704275792,0.24352136836385382,6.529943475233903,1.4399336610880152e-06,24,22,0.004641040388533376
GSE204835_term,AOX1,-1.5835647419243841,0.24547320178375434,-6.451069731511466,1.7227321412521812e-06,24,22,0.004641040388533376
GSE204835_term,WDR13,1.5705326386374314,0.2492498348962598,6.301037829337389,2.428088815993547e-06,24,22,0.005378190588199068
GSE204835_term,EBI3,1.5650456092405105,0.25081372790563966,6.239872204400657,2.794902310125722e-06,24,22,0.005378190588199068
GSE204835_term,SFR1,-1.5417735472243885,0.2572819166888957,-5.992545325634739,4.958727334891524e-06,24,22,0.008349257150123603
GSE204835_term,INHBA,1.512087481674206,0.2651693096441568,5.702347242610193,9.801353360397732e-06,24,22,0.013701370994015038
GSE204835_term,PRSS8,1.506785108151774,0.2665377315252161,5.653177505223957,1.1010345981378651e-05,24,22,0.013701370994015038
GSE204835_term,TEAD3,1.506045985178338,0.26672754432716056,5.646383424619484,1.1188944390064247e-05,24,22,0.013701370994015038
GSE204835_term,SLC16A3,1.4908829280947389,0.2705719050833044,5.51011727413355,1.5465212159753736e-05,24,22,0.016776734256582524
GSE204835_term,NECTIN1-DT,-1.4886869123811985,0.2711209567566634,-5.490858877859911,1.6191354516375116e-05,24,22,0.016776734256582524
GSE204835_term,PRMT9,-1.4711941174168417,0.27542704051340605,-5.341502107688781,2.3137367070650686e-05,24,22,0.021569894100276887
GSE204835_term,SLC30A2,1.4646651790666612,0.27700420464178055,5.287519664045366,2.6335997433677906e-05,24,22,0.021569894100276887
GSE204835_term,OLAH,1.4644579872100694,0.2770539935094672,5.285821614262447,2.6443587290783436e-05,24,22,0.021569894100276887
GSE204835_term,CORO6,1.4629796166429756,0.27740878718963274,5.2737320669042225,2.722258349700869e-05,24,22,0.021569894100276887
GSE204835_term,CYP11A1,1.4589069480418682,0.2783820013030244,5.240665492787441,2.9474212930508355e-05,24,22,0.02205653600966375
GSE204835_term,CD59,1.4412784966070573,0.2825251097892519,5.101417349000134,4.122617966228691e-05,24,22,0.029227191581631826
GSE204835_term,PGF,1.4331865910598691,0.28439005932469874,5.0395101518775185,4.7879811470397896e-05,24,22,0.032247053025312986
GSE204835_term,METTL6,-1.42425935297919,0.28642138607181816,-4.9726012869097245,5.6299157006692353e-05,24,22,0.03228768133720712
GSE204835_term,SIL1,1.4199413321363386,0.2873942451046688,4.940743791230742,6.081894159231309e-05,24,22,0.03228768133720712
GSE204835_term,HTRA1,1.418326911650813,0.28775637620456274,4.92891566942218,6.258885611259271e-05,24,22,0.03228768133720712
GSE204835_term,TMBIM1,1.4154548374486293,0.28839847248339406,4.907983129245356,6.584956316638553e-05,24,22,0.03228768133720712
GSE204835_term,FLT4,1.4143520654280937,0.28864428945366294,4.899982840835465,6.71406111153656e-05,24,22,0.03228768133720712
GSE204835_term,BEX4,1.4125143310715669,0.2890530462366237,4.88669588320221,6.934149563892828e-05,24,22,0.03228768133720712
GSE204835_term,BZW2,1.4087599279738783,0.28988467916086647,4.859725364071799,7.403542825088455e-05,24,22,0.03228768133720712
GSE204835_term,CTSD,1.4067445338242184,0.2903292135967074,4.845342693547572,7.666831739039357e-05,24,22,0.03228768133720712
GSE204835_term,PSG11,1.4065645440767738,0.29036884980998595,4.844061423934466,7.690739899062472e-05,24,22,0.03228768133720712
GSE204835_term,INSL4,1.4060203173412171,0.29048863227304667,4.8401904967476295,7.763428066203239e-05,24,22,0.03228768133720712
GSE204835_term,CRIP1,1.4043212539920855,0.29086197514843154,4.828136277612217,7.994249706725244e-05,24,22,0.03228768133720712
GSE204835_term,TLN1,1.4024583092816034,0.2912702606343712,4.814972548955473,8.254229700781519e-05,24,22,0.03228768133720712
GSE204835_term,CGB3,1.4008736607239707,0.2916166786618691,4.803818722413646,8.481175335172761e-05,24,22,0.03228768133720712
GSE204835_term,CTSZ,1.3996488561485922,0.2918838820190528,4.795224890346051,8.66031426982655e-05,24,22,0.03228768133720712
GSE204835_term,ADM,1.3967982185115289,0.2925039292740243,4.775314376043737,9.090140615400004e-05,24,22,0.03228768133720712
GSE204835_term,HERPUD1,1.3945712269406147,0.2929865360172625,4.759847486160415,9.43882166946076e-05,24,22,0.03228768133720712
GSE204835_term,FKBP2,1.3932928155080033,0.29326287180826777,4.751003108292971,9.644229523418368e-05,24,22,0.03228768133720712
GSE204835_term,FTL,1.3930070462302844,0.2933245722036591,4.749029499182568,9.690676969073295e-05,24,22,0.03228768133720712
GSE204835_term,PAPPA2,1.3926005564955206,0.2934122931815865,4.746224302311936,9.757083153943304e-05,24,22,0.03228768133720712
GSE204835_term,MORC4,1.3920920026583399,0.2935219667687912,4.742718297996749,9.840723916464108e-05,24,22,0.03228768133720712
GSE204835_term,FAM169A,-1.3910649027146684,0.29374322195420055,-4.735649365661137,0.00010011565371168857,24,22,0.03228768133720712
GSE204835_term,TNS4,1.3907323817839443,0.2938147820706479,4.73336423709799,0.00010067428479307343,24,22,0.03228768133720712
GSE204835_term,MBD3,1.389216167170482,0.2941406415464215,4.72296572097887,0.00010325624525390317,24,22,0.03234561915279246
GSE204835_term,BCAP31,1.3837679117897785,0.29530567365438093,4.685883256714225,0.00011301879525393936,24,22,0.034599163001603706
GSE204835_term,FAM43A,1.380508530798769,0.2959982746974563,4.663907356249981,0.00011923731606386762,24,22,0.03569170327511771
GSE204835_term,ADAM12,1.3782594162835735,0.2964743063188228,4.648832586529166,0.0001237009533613814,24,22,0.036222866125604505
GSE204835_term,CSF3R,1.3747306431211075,0.29721808584676734,4.625326346492449,0.00013099882897093634,24,22,0.037543706941244946
GSE204835_term,GH2,1.372022782700221,0.29778628830733295,4.607407515299069,0.0001368514522498021,24,22,0.03840393878760071
GSE204835_term,GPX4,1.3693780819801373,0.29833911470047075,4.590005180363219,0.00014278683222724675,24,22,0.03868073629315141
GSE204835_term,BGN,1.3681133283018505,0.29860275026561534,4.581717104363158,0.00014570388248313402,24,22,0.03868073629315141
GSE204835_term,RNA5S17,1.3671735542230823,0.2987983362164917,4.575572848011137,0.0001479049729194379,24,22,0.03868073629315141
GSE204835_term,BCL9,-1.3658963476894768,0.2990637284397213,-4.567241754176098,0.00015094290704641592,24,22,0.03868073629315141
GSE204835_term,CGB1,1.3653760872632046,0.29917169543311617,4.563854495949309,0.00015219591859963065,24,22,0.03868073629315141
GSE204835_term,UBXN4,1.3613374509421594,0.300007096733912,4.537684160683647,0.0001622355822098244,24,22,0.04046876467345064
GSE204835_term,TMEM106C,1.3582551026003293,0.300641466443269,4.517856830160958,0.00017028229723944368,24,22,0.040487261824558765
GSE204835_term,GLRX5,1.3554247504616246,0.3012215342393653,4.499760463289248,0.00017797564243696512,24,22,0.040487261824558765
GSE204835_term,JUP,1.3544602303571454,0.301418677236513,4.493617458530436,0.000180665737886423,24,22,0.040487261824558765
GSE204835_term,TINCR,1.353842674481803,0.30154476119454793,4.489690582315715,0.0001824066946305695,24,22,0.040487261824558765
GSE204835_term,PSG8,1.35223507195755,0.3018724627976413,4.479491303796114,0.00018700749414813432,24,22,0.040487261824558765
GSE204835_term,SH2D4A,-1.3520383211463836,0.3019125182960517,-4.478245316812572,0.00018757746608874653,24,22,0.040487261824558765
GSE204835_term,LGMN,1.350833823003697,0.3021574932474296,4.4706282425289094,0.00019109994059784044,24,22,0.040487261824558765
GSE204835_term,LMO2,1.3498756059814379,0.30235208116829465,4.464581823830981,0.0001939432342506176,24,22,0.040487261824558765
GSE204835_term,MRPS28,-1.348528136478525,0.30262527071514234,-4.456098901759857,0.00019800391462526036,24,22,0.040487261824558765
GSE204835_term,S100P,1.3478853357055103,0.3027554109660874,4.452060266749424,0.00019996700269258563,24,22,0.040487261824558765
GSE204835_term,CDKL1,-1.3470532503419979,0.3029236983193497,-4.44684010467184,0.0002025333359170025,24,22,0.040487261824558765
GSE204835_term,NOTUM,1.3465083691484327,0.303033792381054,4.443426452767509,0.00020422937859616565,24,22,0.040487261824558765
GSE204835_term,GPC3,1.3460966874162434,0.3031169172463407,4.440849754097629,0.00020551900900680497,24,22,0.040487261824558765
GSE204835_term,LOC401312,-1.346049320899367,0.30312647818118965,-4.440553425012197,0.00020566784314015379,24,22,0.040487261824558765
GSE204835_term,KRT19,1.3455015817646676,0.30323699303605833,4.437128756268442,0.00020739577326611393,24,22,0.040487261824558765
GSE204835_term,WWOX,-1.3439251584852365,0.3035545856052735,-4.427293219127338,0.0002124396403114298,24,22,0.040817187102991835
GSE204835_term,MTFR1L,1.34238189021523,0.3038648169944476,4.417694366504295,0.00021748061006459296,24,22,0.040817187102991835
GSE204835_term,SURF6,1.3398354160205304,0.30437524622431167,4.401919777119879,0.00022602643763913513,24,22,0.040817187102991835
