cohort,gene_set,n_requested,n_present,present_genes,missing_genes
GSE204835_term,HALLMARK_HYPOXIA,200,158,ACKR3;ADM;AK4;AKAP12;ALDOA;AMPD3;ANGPTL4;ANKZF1;ANXA2;ATF3;ATP7A;B3GALT6;BCL2;BGN;BHLHE40;BNIP3L;BRS3;BTG1;CA12;CASP6;CAV1;CAVIN1;CAVIN3;CCN1;CCN2;CCN5;CCNG2;CDKN1A;CDKN1B;CDKN1C;CHST2;CITED2;COL5A1;CP;CSRP2;CXCR4;DCN;DDIT4;DTNA;DUSP1;EFNA1;EGFR;ENO1;ENO2;ERO1A;ERRFI1;ETS1;F3;FAM162A;FBP1;FOS;FOSL2;FOXO3;GAA;GAPDH;GBE1;GCNT2;GLRX;GPC1;GPC3;GPC4;GPI;GRHPR;HDLBP;HEXA;HK1;HK2;HMOX1;HSPA5;IDS;IGFBP1;IGFBP3;INHA;IRS2;ISG20;JMJD6;JUN;KDELR3;KDM3A;KLF6;KLF7;KLHL24;LARGE1;LDHA;LOX;LXN;MAP3K1;MT2A;MXI1;MYH9;NAGK;NDRG1;NDST1;NDST2;NEDD4L;NFIL3;NOCT;NR3C1;P4HA1;PAM;PDGFB;PDK1;PDK3;PFKFB3;PFKL;PGF;PGK1;PGM1;PGM2;PIM1;PKP1;PLAC8;PLAUR;PLIN2;PNRC1;PPARGC1A;PPP1R15A;PRDX5;PRKCA;RBPJ;RORA;RRAGD;S100A4;SAP30;SCARB1;SDC2;SDC3;SDC4;SELENBP1;SERPINE1;SIAH2;SLC25A1;SLC2A1;SLC2A3;SLC37A4;SLC6A6;SRPX;STC1;STC2;TES;TGFB3;TGFBI;TGM2;TIPARP;TMEM45A;TNFAIP3;TPBG;TPD52;TPI1;TPST2;UGP2;VEGFA;VHL;VLDLR;WSB1;XPNPEP1;ZFP36;ZNF292,ADORA2B;ALDOB;ALDOC;B4GALNT2;BCAN;CHST3;DDIT3;DPYSL4;EDN2;EFNA3;ENO3;EXT1;GALK1;GAPDHS;GCK;GYS1;HAS1;HOXB9;HS3ST1;IER3;IL6;ILVBL;KIF5A;LALBA;LDHC;MAFF;MIF;MT1E;NCAN;P4HA2;PCK1;PFKP;PGAM2;PHKG1;PKLR;PPFIA4;PPP1R3C;PYGM;SLC2A5;STBD1;SULT2B1;TKTL1
GSE204835_term,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,200,155,ABCA1;ACKR3;AREG;ATF3;ATP2B1;B4GALT1;B4GALT5;BCL3;BCL6;BHLHE40;BIRC2;BIRC3;BTG1;BTG2;BTG3;CCL2;CCL20;CCL5;CCN1;CCND1;CCNL1;CD44;CD83;CDKN1A;CEBPB;CEBPD;CFLAR;CSF1;CXCL1;CXCL11;CXCL2;DENND5A;DNAJB4;DRAM1;DUSP1;DUSP4;DUSP5;EDN1;EFNA1;EGR1;EHD1;EIF1;ETS2;F3;FJX1;FOS;FOSB;FOSL2;GADD45A;GADD45B;GPR183;HBEGF;HES1;ICOSLG;ID2;IER2;IER5;IFIH1;IFIT2;IL15RA;IL6ST;IL7R;INHBA;IRF1;IRS2;JAG1;JUN;JUNB;KDM6B;KLF10;KLF2;KLF4;KLF6;KLF9;KYNU;LAMB3;LDLR;LITAF;MAP2K3;MAP3K8;MARCKS;MCL1;MXD1;MYC;NAMPT;NFAT5;NFE2L2;NFIL3;NFKB1;NFKB2;NFKBIA;NINJ1;NR4A1;NR4A2;NR4A3;OLR1;PANX1;PDE4B;PDLIM5;PER1;PFKFB3;PHLDA1;PHLDA2;PLAU;PLAUR;PLEK;PLK2;PLPP3;PMEPA1;PNRC1;PPP1R15A;PTGS2;PTPRE;PTX3;RCAN1;REL;RELA;RELB;RHOB;RIPK2;RNF19B;SAT1;SDC4;SERPINB2;SERPINB8;SERPINE1;SGK1;SLC16A6;SLC2A3;SMAD3;SOCS3;SOD2;SPSB1;SQSTM1;STAT5A;TANK;TGIF1;TIPARP;TLR2;TNC;TNFAIP2;TNFAIP3;TNFAIP6;TNFAIP8;TNFRSF9;TNIP1;TNIP2;TRIB1;TRIP10;TSC22D1;TUBB2A;VEGFA;YRDC;ZBTB10;ZFP36,BCL2A1;BMP2;CCL4;CCRL2;CD69;CD80;CLCF1;CSF2;CXCL10;CXCL3;CXCL6;DDX58;DUSP2;EGR2;EGR3;F2RL1;FOSL1;FUT4;G0S2;GCH1;GEM;GFPT2;ICAM1;IER3;IFNGR2;IL12B;IL18;IL1A;IL1B;IL23A;IL6;LIF;MAFF;MSC;NFKBIE;PTGER4;SIK1;SLC2A6;SNN;SPHK1;TAP1;TNF;TNFSF9;TRAF1;ZC3H12A
GSE204835_term,HALLMARK_ANGIOGENESIS,36,29,APOH;APP;CCND2;COL3A1;COL5A2;FGFR1;FSTL1;ITGAV;JAG1;LPL;LRPAP1;LUM;MSX1;NRP1;OLR1;PDGFA;PF4;POSTN;PRG2;PTK2;S100A4;SLCO2A1;SPP1;STC1;THBD;TIMP1;TNFRSF21;VCAN;VEGFA,CXCL6;JAG2;KCNJ8;PGLYRP1;SERPINA5;VAV2;VTN
GSE204835_term,HALLMARK_INFLAMMATORY_RESPONSE,200,134,ABCA1;ABI1;ACVR1B;ACVR2A;ADGRE1;ADM;ADRM1;AHR;APLNR;AQP9;ATP2A2;ATP2B1;ATP2C1;AXL;BEST1;BST2;BTG2;C3AR1;C5AR1;CALCRL;CCL2;CCL20;CCL5;CD14;CD40;CD55;CD82;CDKN1A;CHST2;CMKLR1;CSF1;CSF3R;CXCL11;CXCL8;CXCL9;CYBB;DCBLD2;EBI3;EDN1;EIF2AK2;EREG;F3;FZD5;GNAI3;GPC3;GPR183;HAS2;HBEGF;HIF1A;HRH1;ICOSLG;IFITM1;IFNAR1;IL10RA;IL15;IL15RA;IL18R1;IL1R1;IL2RB;IL4R;IL7R;INHBA;IRF1;ITGA5;ITGB3;ITGB8;KCNA3;KCNJ2;KCNMB2;KIF1B;KLF6;LCP2;LDLR;LPAR1;LYN;MET;MMP14;MSR1;MXD1;MYC;NAMPT;NFKB1;NFKBIA;NLRP3;NMI;NPFFR2;OLR1;OPRK1;OSMR;P2RX4;PCDH7;PDE4B;PDPN;PLAUR;PROK2;PSEN1;PTPRE;PVR;RAF1;RASGRP1;RELA;RGS1;RGS16;RHOG;RIPK2;RNF144B;ROS1;SCN1B;SELENOS;SELL;SEMA4D;SERPINE1;SGMS2;SLC11A2;SLC1A2;SLC28A2;SLC31A1;SLC31A2;SLC4A4;SLC7A1;SLC7A2;SRI;TAPBP;TIMP1;TLR1;TLR2;TLR3;TNFAIP6;TNFRSF1B;TNFRSF9;TNFSF10;TNFSF15;TPBG;VIP,ADORA2B;BDKRB1;CCL17;CCL22;CCL24;CCL7;CCR7;CCRL2;CD48;CD69;CD70;CLEC5A;CSF3;CX3CL1;CXCL10;CXCL6;CXCR6;EMP3;FFAR2;FPR1;GABBR1;GCH1;GNA15;GP1BA;GPR132;HPN;ICAM1;ICAM4;IFNGR2;IL10;IL12B;IL18;IL18RAP;IL1A;IL1B;IL6;IRAK2;IRF7;LAMP3;LCK;LIF;LTA;LY6E;MARCO;MEFV;MEP1A;NDP;NMUR1;NOD2;OSM;P2RX7;P2RY2;PIK3R5;PTAFR;PTGER2;PTGER4;PTGIR;RTP4;SCARF1;SELE;SLAMF1;SPHK1;STAB1;TACR1;TACR3;TNFSF9
GSE204835_term,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,181,ABI3BP;ADAM12;ANPEP;AREG;BASP1;BDNF;BGN;BMP1;CADM1;CALD1;CALU;CAP2;CAPG;CCN1;CCN2;CD44;CD59;CDH11;CDH2;CDH6;COL11A1;COL12A1;COL16A1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;COL5A1;COL5A2;COL5A3;COL6A2;COL6A3;COL7A1;COL8A2;COLGALT1;COPA;CTHRC1;CXCL1;CXCL8;DAB2;DCN;DKK1;DPYSL3;DST;ECM1;EDIL3;EFEMP2;ELN;ENO2;FAP;FAS;FBLN1;FBLN2;FBLN5;FBN1;FBN2;FERMT2;FGF2;FLNA;FMOD;FN1;FSTL1;FSTL3;FUCA1;GADD45A;GADD45B;GAS1;GJA1;GLIPR1;GPC1;GPX7;HTRA1;ID2;IGFBP2;IGFBP3;IGFBP4;IL15;INHBA;ITGA2;ITGA5;ITGAV;ITGB1;ITGB3;ITGB5;JUN;LAMA1;LAMA2;LAMA3;LAMC1;LAMC2;LGALS1;LOX;LOXL1;LOXL2;LRP1;LUM;MAGEE1;MATN2;MATN3;MCM7;MEST;MFAP5;MGP;MMP14;MMP2;MMP3;MSX1;MXRA5;MYL9;MYLK;NID2;NNMT;NOTCH2;NT5E;NTM;OXTR;P3H1;PCOLCE;PCOLCE2;PDGFRB;PDLIM4;PFN2;PLAUR;PLOD1;PLOD2;PLOD3;PMEPA1;PMP22;POSTN;PRRX1;PTHLH;PTX3;PVR;QSOX1;RGS4;RHOB;SAT1;SCG2;SDC1;SDC4;SERPINE1;SERPINE2;SERPINH1;SFRP1;SFRP4;SGCB;SGCD;SGCG;SLC6A8;SLIT2;SLIT3;SNAI2;SNTB1;SPARC;SPOCK1;SPP1;TAGLN;TFPI2;TGFB1;TGFBI;TGFBR3;TGM2;THBS1;THBS2;THY1;TIMP1;TIMP3;TNC;TNFAIP3;TNFRSF11B;TNFRSF12A;TPM1;TPM2;TPM4;VCAM1;VCAN;VEGFA;VIM;WIPF1;WNT5A,ACTA2;APLP1;COMP;CRLF1;CXCL12;CXCL6;ECM2;EMP3;FOXC2;FZD8;GEM;GREM1;IL32;IL6;LRRC15;MMP1;PPIB;PRSS2;VEGFC
GSE204835_term,CURATED_PROANGIOGENIC_SUPPORT,6,5,ANGPT1;KDR;PGF;TEK;VEGFA,NOS3
GSE204835_term,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,5,5,EDN1;ENG;F3;FLT1;SERPINE1,
GSE204835_term,CURATED_ENDOTHELIAL_NO_SIGNALING,6,5,GUCY1A1;GUCY1B1;KLF2;KLF4;PRKG1,NOS3
GSE204835_term,CURATED_HIF1_TWIST1_MIR214_HOST_AXIS,3,3,DNM3OS;HIF1A;TWIST1,
GSE204835_term,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION,6,5,ASCL2;ITGA1;MMP2;MMP9;NOTCH2,HLA-G
