cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE30186,CPT1A,1.7752330662486724,0.22698330933441013,7.820985038301894,1.4348470733223887e-05,12,10,0.21021944471246318
GSE30186,ATG14,-1.7197485179715997,0.2662952687527803,-6.458051342880436,7.272885526011571e-05,12,10,0.25178968151472575
GSE30186,SSX7,-1.7192670870112094,0.2666059545821618,-6.448719758362977,7.359851387088226e-05,12,10,0.25178968151472575
GSE30186,LRRFIP1,-1.7156941204854785,0.2688978154612321,-6.380468794596198,8.031077738665492e-05,12,10,0.25178968151472575
GSE30186,EXOC4,-1.712879371056604,0.2706863363517635,-6.327912203261991,8.592917941257449e-05,12,10,0.25178968151472575
GSE30186,GTF2E1,1.6773802426806796,0.29207228354144976,5.743031219333869,0.0001869416089778166,12,10,0.35979804234789525
GSE30186,PREB,-1.6740479156635357,0.2939779316086904,-5.694467970785765,0.00019982185858775198,12,10,0.35979804234789525
GSE30186,AFMID,1.67208179852561,0.29509475185201606,5.666253933801319,0.00020773993457761793,12,10,0.35979804234789525
GSE30186,DCXR,1.657426235211319,0.30324988730416724,5.4655460878997095,0.000274773101323511,12,10,0.35979804234789525
GSE30186,IMPDH1,1.6515716710416204,0.3064274273101962,5.389764504891189,0.0003058248643264176,12,10,0.35979804234789525
GSE30186,CD3E,-1.642667504770532,0.3111768203831418,-5.2788877486053405,0.00035821467404235506,12,10,0.35979804234789525
GSE30186,SLTM,-1.641287128382214,0.31190434893946783,-5.262148905466987,0.0003669243377675543,12,10,0.35979804234789525
GSE30186,EVI5,-1.6313744608529899,0.3170621445621164,-5.145282995250111,0.0004344127055981206,12,10,0.35979804234789525
GSE30186,NEIL1,1.6304282536181933,0.31754848078209974,5.134423095341418,0.0004413260386313376,12,10,0.35979804234789525
GSE30186,GPSM2,1.625414435607021,0.32010850960056886,5.077698301851494,0.00047939718049024293,12,10,0.35979804234789525
GSE30186,CLUH,1.6204831374170305,0.3225989876012827,5.023212098296701,0.0005192806049625271,12,10,0.35979804234789525
GSE30186,MS4A15,1.619410833755791,0.3231370016233115,5.011530173333653,0.0005282838867492407,12,10,0.35979804234789525
GSE30186,SMARCE1,1.6158531677442585,0.324913097144069,4.973185697798376,0.0005590247203546561,12,10,0.35979804234789525
GSE30186,C11ORF88,1.6149494183584763,0.3253621125469722,4.963544789270224,0.0005670501351438187,12,10,0.35979804234789525
GSE30186,GABARAPL1,-1.6113232629338952,0.3271550105064468,-4.925259314963611,0.0006001528656961647,12,10,0.35979804234789525
GSE30186,VKORC1L1,1.6101108942062887,0.3277513653709001,4.912598586383326,0.0006115478143842596,12,10,0.35979804234789525
GSE30186,BCAN,1.6095130691772432,0.32804486687255435,4.906380900032617,0.0006172280421846364,12,10,0.35979804234789525
GSE30186,GRK5,-1.6093502575519143,0.3281247346946363,-4.904690464891739,0.0006187820511977253,12,10,0.35979804234789525
GSE30186,LRRN3,-1.608988083351773,0.32830230189547166,-4.900934516944263,0.0006222498092603354,12,10,0.35979804234789525
GSE30186,TTC7A,-1.6083914235908519,0.32859453665361826,-4.894760089350808,0.0006279955289209507,12,10,0.35979804234789525
GSE30186,KCNN1,-1.607310840360485,0.3291228538291348,-4.883619662568086,0.0006385058426759454,12,10,0.35979804234789525
GSE30186,ZAP70,-1.603021937195869,0.33120799137935525,-4.839925300473254,0.0006815718833538068,12,10,0.36984109863024534
GSE30186,DARS2,1.5980978473008542,0.33357906665722337,4.790761792444894,0.0007337511835285539,12,10,0.3725361964304158
GSE30186,KBTBD8,1.59394106723946,0.33556199737666925,4.750064309130503,0.0007801586567286084,12,10,0.3725361964304158
GSE30186,TRIM2,-1.5938335108899455,0.3356130817222263,-4.749020815014292,0.0007813888174329612,12,10,0.3725361964304158
GSE30186,KIAA0907,-1.5911097046427984,0.336903038641413,-4.722752608759685,0.0008130449647491358,12,10,0.3725361964304158
GSE30186,FHIT,1.590121368366453,0.3373693377488633,4.7132954612198175,0.0008247731171872668,12,10,0.3725361964304158
