model,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
composition_proxy_adjusted,FLT1,1.242444293018439,0.11250448939832472,11.043508571640519,4.0081649798502406e-21,157,150,5.611430971790337e-20
composition_proxy_adjusted,ENG,0.8483477723385929,0.10767392060552887,7.878860243666392,6.211745373218846e-13,157,150,4.348221761253192e-12
composition_proxy_adjusted,SERPINE1,0.5773028606284631,0.1407292544156311,4.102223542828213,6.689114477851404e-05,157,150,0.0003121586756330655
composition_proxy_adjusted,VEGFA,0.45728182516746096,0.15492545653562081,2.951624835537094,0.003669699173616054,157,150,0.01284394710765619
composition_proxy_adjusted,PGF,-0.4549785362615001,0.16750886973672355,-2.7161459388783253,0.007380729257184402,157,150,0.020666041920116326
composition_proxy_adjusted,NOS3,-0.3572927064386081,0.15065862095987737,-2.371538410229843,0.01898385291528542,157,150,0.04429565680233264
composition_proxy_adjusted,EDN1,0.371181483290407,0.16092529558353139,2.306545294476331,0.022449188439551036,157,150,0.04489837687910207
composition_proxy_adjusted,IL1B,0.37054325559586754,0.16495478312171533,2.246332289270172,0.026143220419618547,157,150,0.045750635734332454
composition_proxy_adjusted,NFKB1,0.3260456930855261,0.16187025841940003,2.0142408881608964,0.04577173801414037,157,150,0.07120048135532947
composition_proxy_adjusted,TWIST1,-0.29754745642596425,0.15257902837774204,-1.9501202726846696,0.05302634086459353,157,150,0.0720880310923033
composition_proxy_adjusted,KDR,-0.21353776479445338,0.11116516722283595,-1.9209053530806697,0.05664059585823831,157,150,0.0720880310923033
composition_proxy_adjusted,RELA,-0.1259642558574889,0.1324002473564266,-0.9513898831199933,0.34293696563582377,157,150,0.40009312657512774
composition_proxy_adjusted,HIF1A,-0.05508513313363269,0.16522012155238167,-0.3334045067638351,0.73929454843355,157,150,0.7961633598515154
composition_proxy_adjusted,TNF,-0.017868103932797384,0.16697078795411524,-0.10701335336398883,0.914921379990935,157,150,0.914921379990935
