cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE30186,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION,-0.6076227845596052,0.5742352495581143,-1.0581426079767537,0.31488103274172224,12,10,0.8836609769696103
GSE30186,HALLMARK_INFLAMMATORY_RESPONSE,-0.6038991725179542,0.5746279192746203,-1.0509394901665836,0.3180197477711667,12,10,0.8836609769696103
GSE30186,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.5812465429466914,0.5769591946558428,-1.007430938497143,0.3374822352357992,12,10,0.8836609769696103
GSE30186,HALLMARK_HYPOXIA,0.4890509352966423,0.5854481915039235,0.8353445144998195,0.42303270868083664,12,10,0.8836609769696103
GSE30186,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,0.42233365633159303,0.5906184004411186,0.7150702653628168,0.4909227649831168,12,10,0.8836609769696103
GSE30186,HALLMARK_ANGIOGENESIS,-0.18723612034933268,0.6026283516316834,-0.310699156191988,0.762408718096403,12,10,0.9183029740143478
GSE30186,CURATED_ENDOTHELIAL_NO_SIGNALING,0.14951574517797334,0.6036813487768644,0.24767328903056446,0.809398448415911,12,10,0.9183029740143478
GSE30186,CURATED_PROANGIOGENIC_SUPPORT,0.14404199917305915,0.6038144225787336,0.23855342599783128,0.8162693102349758,12,10,0.9183029740143478
GSE30186,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,-0.05314427453582145,0.6052968158474591,-0.08779870163601577,0.9317699952442713,12,10,0.9317699952442714
GSE10588,HALLMARK_HYPOXIA,1.3328929269969723,0.23733116185268607,5.616173268575295,1.5188438328880848e-06,43,41,1.3669594495992762e-05
GSE10588,CURATED_ANTIANGIOGENIC_VASCULAR_STRESS,1.060699913808237,0.26873182495665626,3.947057308821972,0.0003034201518038235,43,41,0.0013653906831172058
GSE10588,CURATED_PROANGIOGENIC_SUPPORT,0.8288083218584442,0.2879299379675093,2.878506930224008,0.006320533552981445,43,41,0.018961600658944335
GSE10588,CURATED_EXTRAVILLOUS_TROPHOBLAST_INVASION,0.440672637274989,0.3080932895397281,1.430322088265298,0.16020190197662634,43,41,0.36045427944740926
GSE10588,HALLMARK_ANGIOGENESIS,-0.17266373918931763,0.3145325638982198,-0.5489534598560364,0.5860147939425479,43,41,0.9534228506955438
