cohort,feature,estimate,std_error,t_stat,p_value,n,df_resid,fdr
GSE75010_BioBank157,FLT1,1.3465592164026896,0.11501433080124934,11.707751608185356,5.662094571835852e-23,157,152,8.295534757196706e-19
GSE75010_BioBank157,ENG,1.0338686993741995,0.12346063159648778,8.374075897758578,3.4153662157283133e-14,157,152,9.622794312814523e-12
GSE75010_BioBank157,SERPINE1,0.7327357978823841,0.1466830199977636,4.995368911095202,1.5947251077702783e-06,157,152,3.209384279387685e-05
GSE75010_BioBank157,VEGFA,0.4911416390388772,0.151051073420312,3.251493868383413,0.0014140574694507758,157,152,0.008257216414875774
GSE75010_BioBank157,EDN1,0.41424963271413723,0.15861637121905553,2.6116448732901723,0.009914164434294446,157,152,0.036495583700213045
GSE75010_BioBank157,NFKB1,0.41574752285344263,0.16159827896609646,2.5727224665596036,0.011047627843225933,157,152,0.039669707631112744
GSE75010_BioBank157,PGF,-0.40625759895393265,0.16274322985151127,-2.4963102878356698,0.013616277133728916,157,152,0.04651098346260428
GSE75010_BioBank157,TWIST1,-0.2569480790567604,0.14806963848458582,-1.7353191490604534,0.08471104882884749,157,152,0.18131505864009415
GSE75010_BioBank157,IL1B,0.24909523045319204,0.16508195826288624,1.5089185582383153,0.13339541801993754,157,152,0.252014992831735
GSE75010_BioBank157,KDR,-0.18471821240162084,0.1625112973550429,-1.1366484386501565,0.2574740766696934,157,152,0.40414106463334887
GSE75010_BioBank157,HIF1A,-0.16817334876449877,0.16414546391557963,-1.0245385084231793,0.3072087462256723,157,152,0.4566675467687018
GSE75010_BioBank157,NOS3,-0.15839557813230798,0.16234267707862865,-0.9756866215504815,0.3307700225113315,157,152,0.48039739652306723
GSE75010_BioBank157,RELA,0.15537707877116053,0.16054826434184075,0.9677904610686436,0.3346863974831385,157,152,0.48408076628590796
GSE75010_BioBank157,TNF,0.023740786811332997,0.1620027010173618,0.1465456233892588,0.8836848581361958,157,152,0.9289565083270004
GSE190971,FLT1,1.8244502362745176,0.18724486875930244,9.743659457070585,9.577380007476842e-07,13,11,0.0013481192185021828
GSE190971,ENG,1.673577490546153,0.28816411003311637,5.807723558474447,0.00011794921381636498,13,11,0.012061811264293596
GSE190971,KDR,-1.384675324492592,0.40417817403478806,-3.425903261103385,0.005663877233487023,13,11,0.09031503354061442
GSE190971,SERPINE1,1.2969693705729555,0.4298156228474661,3.017501695216944,0.011707863139020855,13,11,0.1389044009456672
GSE190971,VEGFA,1.281560419540482,0.4339971308402164,2.9529237141715363,0.013140512862979561,13,11,0.14752374837994578
GSE190971,IL1B,1.2405512204117861,0.4446978937559279,2.7896494177970217,0.017597568284511148,13,11,0.17518573675499186
GSE190971,NFKB1,0.9341378916403734,0.5082655098637283,1.8378935290943237,0.09321383698148383,13,11,0.4174207704529635
GSE190971,DNM3OS,-0.9065337918186667,0.5127893594287288,-1.7678482892636216,0.10477575425699724,13,11,0.44054695284666956
GSE190971,EDN1,-0.8780550543136958,0.5172747674882178,-1.697463532925363,0.11768536814964962,13,11,0.4645220651361444
GSE190971,NOS3,-0.8265037663872482,0.5249395842669038,-1.5744740750337758,0.14368067764332113,13,11,0.5062715639766497
GSE190971,PGF,-0.5634916934032257,0.5556947188185647,-1.0140310395629417,0.33235326628013573,13,11,0.7064186204128181
GSE190971,TWIST1,-0.5341536991138974,0.5583226128331065,-0.9567115621619402,0.35926715549754473,13,11,0.7261372846273074
GSE190971,HIF1A,-0.3732977105480918,0.5700824927216689,-0.6548134968430731,0.5260434351544689,13,11,0.8248107085158682
GSE190971,RELA,0.12612472246785175,0.5798415354582289,0.21751584658070364,0.8317884836637066,13,11,0.9495144104144003
GSE204835_term,PGF,1.4331865910598691,0.28439005932469874,5.0395101518775185,4.7879811470397896e-05,24,22,0.032247053025312986
GSE204835_term,ENG,1.3246520590774522,0.3073811858939971,4.309476701460412,0.0002833118491831021,24,22,0.040817187102991835
GSE204835_term,FLT1,1.1084439181957553,0.34408544218684556,3.2214205609833595,0.003928575147000895,24,22,0.0797983162146697
GSE204835_term,HIF1A,-1.0493008720322519,0.3524138201091084,-2.977467999715179,0.00694774751331836,24,22,0.1025048800943867
GSE204835_term,DNM3OS,0.8345902147095593,0.37759962603773284,2.210251698252901,0.037792934237175,24,22,0.21647292012211491
GSE204835_term,SERPINE1,0.7990609216469906,0.38107712037603453,2.0968483252379553,0.04772271380748897,24,22,0.23870217415034403
GSE204835_term,RELA,0.6494133543160492,0.39379249430548113,1.6491257799654058,0.1133295132082757,24,22,0.35361680313130023
GSE204835_term,EDN1,-0.5098745611464177,0.4030204859009866,-1.2651331110540194,0.21906030203790314,24,22,0.48248358170670397
GSE204835_term,TWIST1,-0.4861773252394376,0.40434936186850956,-1.202369463359108,0.242002478392024,24,22,0.5075331663018415
GSE204835_term,NFKB1,0.485786574234333,0.4043707084991896,1.2013396718009475,0.24239345903867532,24,22,0.5080192769956366
GSE204835_term,VEGFA,-0.3608103183725184,0.4102742568026493,-0.8794368946869506,0.3886696889499047,24,22,0.632312474518
GSE204835_term,KDR,-0.2380143074669166,0.4143276329172788,-0.5744591684388971,0.5714850346285505,24,22,0.7692518653389202
